Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
CLEAN HORIZON,Malta,9HA3808,LNG Tanker,Tanker,2015,105943,105943,289 / 46
BW PAVILION LEEARA,Singapore,9V2726,LNG Tanker,Tanker,2015,105945,105945,289 / 46
CHINA STEEL HARMONY,Taiwan,BHBV,Bulk Carrier,Cargo ship,2019,105964,105964,300 / 50
CHINA STEEL PRESTIGE,Taiwan,BHDT,Bulk Carrier,Cargo ship,2020,105964,105964,300 / 50
ADAM LNG,Marshall Islands,V7GR3,LNG Tanker,Tanker,2014,105975,105975,289 / 46
CLEAN PLANET,Marshall Islands,V7CY8,LNG Tanker,Tanker (HAZ-A),2014,105943,105943,289 / 46
C.S. BRILLIANCE,Taiwan,BHCH,Bulk Carrier,Cargo ship,2019,105964,105964,300 / 50
CHINA STEEL LIBERTY,Taiwan,BHAZ,Bulk Carrier,Cargo ship,2019,105964,105964,300 / 50
PAN DELIGHT,Marshall Islands,V7ZW3,Bulk Carrier,Cargo ship,2016,106077,106077,300 / 50
CAPE AZALEA,Singapore,9V9450,Bulk Carrier,Cargo ship,2012,106251,106251,300 / 50
LNG FLORA,Panama,3EXA5,LNG Tanker,Tanker,1993,106151,106151,272 / 47
EMERALD HORIZON,Panama,3FRB6,Bulk Carrier,Cargo ship,2013,106251,106251,300 / 50
CS SUSTAINABILITY,Taiwan,BHAH,Bulk Carrier,Cargo ship,2013,106370,106370,300 / 50
BAOSTEEL EVOLUTION,Panama,3EJU6,Bulk Carrier,Cargo ship,2007,104721,104721,300 / 50
MG COURAGE,Panama,3EKN9,Bulk Carrier,Cargo ship,2007,104721,104721,300 / 50
SEN-OKU,Panama,3EDP5,Bulk Carrier,Cargo ship,2006,104728,104728,300 / 50
GRAND VENTURE,Panama,3ECW2,Bulk Carrier,Cargo ship,2005,104725,104725,300 / 50
CAPE MERLIN,Liberia,D5KH4,Bulk Carrier,Cargo ship,2005,104727,104727,300 / 50
BENITAMOU,Panama,3EQX,Bulk Carrier,Cargo ship,2008,104729,104729,300 / 50
KACHIDOKI,Panama,3EFH,Bulk Carrier,Cargo ship,2006,104728,104728,300 / 50
CAPE ACACIA,Japan,7JNZ,Bulk Carrier,Cargo ship,2005,104735,104735,300 / 50
CAPE MAPLE,Panama,3ECF4,Bulk Carrier,Cargo ship,2005,104732,104732,300 / 50
SPRING BRAVE,Panama,3ENV4,Bulk Carrier,Cargo ship,2007,104730,104730,300 / 50
NORTHWEST SANDPIPER,Australia,VNVG,LNG Tanker,Tanker (HAZ-A),1993,105010,105010,272 / 47
DWIPUTRA,Bahamas,C6MJ6,LNG Tanker,Tanker,1994,104968,104968,272 / 47
SERI BIJAKSANA,Malaysia,9MHQ7,LNG Tanker,Tanker (HAZ-A),2008,104881,104881,290 / 47
NYK ALTAIR,Panama,3FWO7,Container Ship,Cargo ship,2010,105644,105644,332 / 45
AZUL VICTORIA,Panama,3EHX3,Bulk Carrier,Cargo ship,2006,104728,104728,300 / 50
KITA LNG,Malta,9HA3422,LNG Tanker,Tanker (HAZ-D),2014,103902,103902,294 / 44
CORCOVADO LNG,Malta,9HA3358,LNG Tanker,Tanker (HAZ-A),2014,103905,103905,294 / 44
SERI BAKTI,Malaysia,9MGZ6,LNG Tanker,Tanker,2007,105335,105335,290 / 47
SERI BEGAWAN,Malaysia,9MFJ6,LNG Tanker,Tanker,2007,105335,105335,290 / 47
MERIDIAN SPIRIT,Denmark,OWHC2,LNG Tanker,Tanker,2010,104169,104169,285 / 43
MARAN GAS DELPHI,Greece,SVBW3,LNG Tanker,Tanker (HAZ-D),2014,103928,103928,294 / 44
WOODSIDE DONALDSON,Singapore,9V8262,LNG Tanker,Tanker,2009,104169,104169,285 / 43
ARWA SPIRIT,Marshall Islands,V7PQ5,LNG Tanker,Tanker,2008,104169,104169,285 / 43
METHANE SPIRIT,Bahamas,C6AS3,LNG Tanker,Tanker (HAZ-A),2008,104169,104169,285 / 43
MARAN GAS EFESSOS,Greece,SVBW6,LNG Tanker,Tanker,2014,103928,103928,294 / 44
MAGELLAN SPIRIT,Denmark,OWDW2,LNG Tanker,Tanker,2009,104169,104169,285 / 43
CHINA STEEL TEAM,Taiwan,BDFJ,Bulk Carrier,Cargo ship,2006,104352,104352,300 / 50
CHINA PROSPERITY,Hong Kong,VRJW6,Bulk Carrier,Cargo ship,2012,104361,104361,300 / 50
MARIB SPIRIT,Marshall Islands,V7CY2,LNG Tanker,Tanker (HAZ-A),2008,104169,104169,285 / 43
CHINA TRIUMPH,Hong Kong,VRJO2,Bulk Carrier,Cargo ship,2011,104361,104361,300 / 50
MSC GAYANE,Liberia,D5OZ5,Container Ship,Cargo ship (HAZ-D),2018,102492,102492,314 / 48
WOODSIDE GOODE,Greece,SVBU9,LNG Tanker,Tanker,2013,103928,103928,294 / 44
ADRIATIC ENERGY,Marshall Islands,V7AI3,LNG Tanker,Tanker,1983,102390,102390,283 / 45
CHINA STEEL REALIST,Taiwan,BMER,Bulk Carrier,Cargo ship,2007,104352,104352,300 / 50
C.S. ENTREPRENEUR,Taiwan,BHAB,Bulk Carrier,Cargo ship,2007,104380,104380,300 / 51
MSC CARLOTTA,Liberia,D5OE8,Container Ship,Cargo ship (HAZ-D),2017,102492,102492,314 / 48
COSTA MAGICA,Italy,IBQQ,Passenger (Cruise) Ship,Passenger ship,2004,102784,102784,272 / 35
MSC AVNI,Liberia,D5OA3,Container Ship,Cargo ship (HAZ-A),2017,102492,102492,314 / 49
SS EXPLORER,Belgium,ONFE,Offshore Support Vessel,Tanker,2008,102777,102777,291 / 43
COSTA FORTUNA,Italy,IBNY,Passenger (Cruise) Ship,Passenger ship,2003,102669,102669,272 / 36
ARMADALNGMEDITERRANA,Malta,9HA4196,Offshore Support Vessel,Tanker (HAZ-A),1985,102671,102671,283 / 45
CMA CGM CONGO,Liberia,D5QG7,Container Ship,Cargo ship (HAZ-A),2015,102931,102931,300 / 48
TRISTAR RUBY,Liberia,D5VZ6,LNG Tanker,Tanker (HAZ-A),2008,102064,102064,288 / 44
CMA CGM MISSISSIPPI,Liberia,D5QE3,Container Ship,Cargo ship,2015,102931,102931,300 / 48
CMA CGM MISSOURI,Liberia,D5QE4,Container Ship,Cargo ship (HAZ-D),2016,102931,102931,300 / 48
BW BRUSSELS,Singapore,9V6429,LNG Tanker,Tanker,2009,103670,103670,295 / 43
COOL VOYAGER,Malta,9HA3401,LNG Tanker,Tanker,2013,102097,102097,281 / 43
BW PARIS,Singapore,9V5895,Offshore Support Vessel,Unknown,2009,103670,103670,295 / 43
GOLAR FROST,Marshall Islands,V7AE2,LNG Tanker,Tanker,2014,102100,102100,281 / 43
COOL EXPLORER,Malta,9HA3616,LNG Tanker,Tanker (HAZ-A),2015,102097,102097,281 / 43
COOL RUNNER,Malta,9HA3506,LNG Tanker,Tanker,2014,102097,102097,281 / 43
GOLAR BEAR,Marshall Islands,V7AF4,LNG Tanker,Tanker,2014,102100,102100,281 / 43
LNGC GOLAR CELSIUS,Marshall Islands,V7AF5,LNG Tanker,Tanker,2013,102100,102100,281 / 43
GOLAR SEAL,Marshall Islands,V7AE9,LNG Tanker,Tanker,2013,102100,102100,281 / 43
GOLAR CRYSTAL,Marshall Islands,V7AF6,LNG Tanker,Tanker (HAZ-A),2014,102100,102100,286 / 43
SHIN ONOE,Japan,7JSR,Bulk Carrier,Cargo ship,2004,102101,102101,300 / 50
GOLAR ICE,Marshall Islands,V7AE5,LNG Tanker,Tanker,2015,102200,102200,281 / 43
GOLAR PENGUIN,Marshall Islands,V7AE8,LNG Tanker,Tanker,2014,102100,102100,280 / 43
CARNIVAL SUNRISE,Bahamas,C6FN5,Passenger (Cruise) Ship,Passenger ship,1999,102239,102239,273 / 36
GOLAR SNOW,Marshall Islands,V7AF2,LNG Tanker,Tanker,2015,102200,102200,281 / 43
SHIN NICHIHO,Cayman Islands,ZGKQ,Bulk Carrier,Cargo ship,2005,102208,102208,300 / 50
WINNING OCEAN,Liberia,D5MK5,Bulk Carrier,Cargo ship,2003,102207,102207,300 / 50
WILPRIDE,Norway,LARM7,LNG Tanker,Tanker (HAZ-C),2013,102315,102315,290 / 44
MEDITERRANEAN ENERGY,Korea,DSBO7,LNG Tanker,Tanker (HAZ-D),1984,102376,102376,283 / 45
WILFORCE,Norway,LARL7,LNG Tanker,Tanker (HAZ-D),2013,102315,102315,290 / 44
PALU LNG,Malta,9HA3423,LNG Tanker,Tanker (HAZ-A),2014,103885,103885,294 / 44
CARNIVAL SUNSHINE,Bahamas,C6FN4,Passenger (Cruise) Ship,Passenger ship,1996,103881,103881,272 / 36
MARAN GAS MYSTRAS,Greece,SVCB6,LNG Tanker,Tanker,2015,103893,103893,294 / 44
YARI LNG,Malta,9HA3424,LNG Tanker,Tanker (HAZ-D),2014,103885,103885,294 / 44
MARAN GAS TROY,Greece,SVCB8,LNG Tanker,Tanker,2015,103893,103893,294 / 44
HYUNDAI UTOPIA,Korea,DSPI4,LNG Tanker,Tanker (HAZ-D),1994,103764,103764,274 / 47
NORTH ENERGY,Marshall Islands,V7SW9,LNG Tanker,Tanker,1983,102390,102390,283 / 45
YK SOVEREIGN,Korea,DSPZ2,LNG Tanker,Tanker (HAZ-A),1994,103764,103764,274 / 47
ASIA INTEGRITY,Bahamas,C6BC8,LNG Tanker,Tanker (HAZ-A),2017,101427,101427,285 / 43
DAZ,Korea,-,Bulk Carrier,-,1988,101466,101466,309 / 50
ASIA VENTURE,Bahamas,C6BC9,LNG Tanker,Tanker,2017,101427,101427,285 / 43
ASIA VISION,Bahamas,C6AX3,LNG Tanker,Tanker (HAZ-A),2014,101427,101427,285 / 43
ASIA ENDEAVOUR,Bahamas,C6AX6,LNG Tanker,Tanker,2015,101427,101427,285 / 43
ASIA ENERGY,Bahamas,C6AX4,LNG Tanker,Tanker (HAZ-A),2014,101427,101427,285 / 43
CAPE DAISY,Panama,3EFB4,Bulk Carrier,Cargo ship,2006,101911,101911,300 / 50
CARNIVAL VICTORY,Panama,3FFL8,Passenger (Cruise) Ship,Passenger ship,2000,101705,101705,272 / 36
CAPTAIN LEONIDAS,Panama,H8HK,Bulk Carrier,Cargo ship,2005,101933,101933,300 / 50
XYMG NOBLE,Liberia,D5VM7,Bulk Carrier,Cargo ship,2004,101933,101933,300 / 50
PACIFIC OAK,Panama,3ECX8,Bulk Carrier,Cargo ship,2005,101933,101933,300 / 50
OCEAN PROMETHEUS,Liberia,A8MC4,Bulk Carrier,Cargo ship,2007,101953,101953,300 / 50
TANGGUH SAGO,Bahamas,C6XC3,LNG Tanker,Tanker (HAZ-D),2009,101957,101957,288 / 44
WINNING UNIVERSE,Singapore,9VBT9,Bulk Carrier,Cargo ship,2006,101933,101933,300 / 50
AZUL CIELO,Panama,3EBM5,Bulk Carrier,Cargo ship,2005,101933,101933,300 / 50
TANGGUH HIRI,Bahamas,C6XC2,LNG Tanker,Tanker (HAZ-A),2008,101957,101957,288 / 44
EXPRESS,Belgium,ONFL,Offshore Support Vessel,Tanker,2009,100325,100325,291 / 43
ATLANTIC STAR,United Kingdom,2ITA4,Container Ship,Cargo ship (HAZ-A),2015,100430,100430,296 / 38
EXQUISITE,Marshall Islands,-,Offshore Support Vessel,-,2009,100361,100361,291 / 43
EXEMPLAR,Belgium,ONFZ,Offshore Support Vessel,Tanker,2010,100361,100361,291 / 43
GASLOG CHELSEA,Bermuda,ZCEK7,LNG Tanker,Tanker,2010,100374,100374,289 / 44
ATLANTIC SEA,United Kingdom,2JHW9,Container Ship,Cargo ship (HAZ-A),2016,100430,100430,296 / 38
GRACE ACACIA,Bahamas,C6UU9,LNG Tanker,Tanker (HAZ-A),2007,100341,100341,288 / 44
ATLANTIC SUN,United Kingdom,MAEK8,Container Ship,Cargo ship,2017,100430,100430,296 / 38
ATLANTIC SAIL,United Kingdom,2JCC5,Container Ship,Cargo ship (HAZ-D),2016,100430,100430,296 / 38
ATLANTIC SKY,United Kingdom,2JOM5,Container Ship,Cargo ship,2017,100430,100430,296 / 38
LOBITO,Bahamas,C6YZ3,LNG Tanker,Tanker (HAZ-C),2011,100723,100723,285 / 43
MALANJE,Bahamas,C6YZ2,LNG Tanker,Tanker,2011,100723,100723,285 / 43
SOYO,Bahamas,C6YN3,LNG Tanker,Tanker,2011,100723,100723,285 / 43
GRACE COSMOS,Bahamas,C6WT6,LNG Tanker,Tanker,2008,100481,100481,288 / 44
EVER LOADING,United Kingdom,2HDG4,Container Ship,Cargo ship,2014,99946,99946,335 / 45
EVER LYRIC,Taiwan,BKKH,Container Ship,Cargo ship (HAZ-D),2015,99946,99946,335 / 46
CUBAL,Bahamas,C6YN2,LNG Tanker,Tanker,2012,100723,100723,285 / 43
EVER LUCENT,Singapore,9V9792,Container Ship,Cargo ship (HAZ-D),2014,99946,99946,335 / 46
EVER LISSOME,United Kingdom,2HDG3,Container Ship,Cargo ship,2014,99946,99946,335 / 46
EVER LIFTING,United Kingdom,2ILJ7,Container Ship,Cargo ship (HAZ-A),2015,99946,99946,335 / 45
EVER LIBERAL,United Kingdom,2HDG2,Container Ship,Cargo ship (HAZ-D),2014,99995,99995,335 / 46
EVER LOYAL,Taiwan,BKIZ,Container Ship,Cargo ship (HAZ-D),2014,99995,99995,335 / 46
EVER LUCKY,Panama,3FAE4,Container Ship,Cargo ship (HAZ-D),2014,99995,99995,335 / 46
EVER LADEN,Panama,3FXM3,Container Ship,Cargo ship (HAZ-D),2012,99995,99995,335 / 46
EVER LINKING,United Kingdom,2GLI9,Container Ship,Cargo ship (HAZ-B),2013,99946,99946,335 / 46
EVER LENIENT,United Kingdom,2HDF9,Container Ship,Cargo ship,2014,99995,99995,335 / 46
ARCTIC AURORA,Malta,9HA3589,LNG Tanker,Tanker,2013,100236,100236,288 / 44
EVER LIVELY,Singapore,9V9726,Container Ship,Cargo ship (HAZ-B),2014,99995,99995,335 / 46
LENA RIVER,Marshall Islands,V7AU9,LNG Tanker,Tanker,2013,100236,100236,288 / 44
EVER LUCID,Taiwan,BKIY,Container Ship,Cargo ship,2014,99998,99998,335 / 46
YENISEI RIVER,Marshall Islands,V7AU8,LNG Tanker,Tanker,2013,100236,100236,288 / 44
GUNHILDE MAERSK,Denmark,OUJI2,Container Ship,Cargo ship (HAZ-A),2008,99002,99002,367 / 43
GUSTAV MAERSK,Denmark,OUJK2,Container Ship,Cargo ship (HAZ-A),2008,99002,99002,367 / 43
EVER LOGIC,Taiwan,BKIF,Container Ship,Cargo ship (HAZ-D),2013,98882,98882,335 / 46
GERNER MAERSK,Denmark,OZBY2,Container Ship,Cargo ship (HAZ-A),2008,99002,99002,367 / 43
AL DAAYEN,Bahamas,C6VF7,LNG Tanker,Tanker (HAZ-D),2007,99106,99106,288 / 43
GERDA MAERSK,Denmark,OUJS2,Container Ship,Cargo ship (HAZ-A),2009,99002,99002,367 / 43
AL MARROUNA,Bahamas,C6VF5,LNG Tanker,Tanker (HAZ-A),2006,99106,99106,288 / 43
K.MUGUNGWHA,Panama,3ETM6,LNG Tanker,Tanker (HAZ-D),2008,99151,99151,288 / 43
GUTHORM MAERSK,Denmark,OUJN2,Container Ship,Cargo ship (HAZ-A),2009,99002,99002,367 / 43
AL AREESH,Bahamas,C6VF6,LNG Tanker,Tanker (HAZ-A),2007,99106,99106,288 / 43
NIEUW STATENDAM,Netherlands,PBCO,Passenger (Cruise) Ship,Passenger ship,2018,99902,99902,300 / 35
CAPE EUROPE,Singapore,9V2427,Bulk Carrier,Cargo ship,2014,99195,99195,300 / 48
MEIN SCHIFF 3,Malta,9HA3062,Passenger (Cruise) Ship,Passenger ship,2014,99526,99526,293 / 42
GLTEMDEPSJ,Denmark,OUIY2,Container Ship,Cargo ship (HAZ-A),2008,99002,99002,367 / 43
KONINGSDAM,Netherlands,PBGJ,Passenger (Cruise) Ship,Passenger ship,2016,99836,99836,296 / 38
NYK ORPHEUS,Singapore,9V5999,Container Ship,Cargo ship (HAZ-B),2008,99543,99543,336 / 46
LNG ONDO,Bermuda,ZCDT5,LNG Tanker,Tanker,2007,98798,98798,288 / 43
LNG IMO,Bermuda,ZCDT6,LNG Tanker,Cargo ship (HAZ-C),2008,98798,98798,288 / 43
NYK ORION,Panama,3EPU6,Container Ship,Cargo ship,2008,98799,98799,336 / 46
NYK OCEANUS,Panama,3EMR8,Container Ship,Cargo ship,2007,98799,98799,336 / 46
LNG KANO,Bermuda,ZCDT4,LNG Tanker,Tanker (HAZ-C),2007,98798,98798,288 / 43
ONE OLYMPUS,Singapore,9VPQ7,Container Ship,Cargo ship,2008,98799,98799,336 / 46
LNG LOKOJA,Bermuda,ZCDT3,LNG Tanker,Tanker (HAZ-D),2006,98798,98798,288 / 43
MEIN SCHIFF 6,Malta,9HA4330,Passenger (Cruise) Ship,Passenger ship,2017,98811,98811,295 / 42
EVER LEGEND,Singapore,9V9724,Container Ship,Cargo ship (HAZ-D),2013,98830,98830,335 / 46
EVER LEADER,Singapore,9V9289,Container Ship,Cargo ship (HAZ-A),2013,98830,98830,335 / 46
EVER LOTUS,Panama,3FWH8,Container Ship,Cargo ship,2013,98830,98830,335 / 46
EVER LAWFUL,Singapore,9V9288,Container Ship,Cargo ship (HAZ-D),2012,98830,98830,335 / 46
EVER LAUREL,Singapore,9V9287,Container Ship,Cargo ship (HAZ-D),2012,98830,98830,335 / 46
GASLOG SEATTLE,Bermuda,ZCEK5,LNG Tanker,Tanker (HAZ-A),2013,98075,98075,285 / 43
EVER LEGION,Singapore,9V9725,Container Ship,Cargo ship (HAZ-D),2013,98830,98830,335 / 46
MEIN SCHIFF 4,Malta,9HA3513,Passenger (Cruise) Ship,Passenger ship,2015,99526,99526,293 / 42
GASLOG SKAGEN,Bermuda,ZCEJ7,LNG Tanker,Tanker (HAZ-D),2013,98451,98451,285 / 43
EVER LEGACY,Singapore,9V9290,Container Ship,Cargo ship (HAZ-A),2013,98830,98830,335 / 46
AMALI,Brunei,V8V3103,LNG Tanker,Tanker,2011,98490,98490,284 / 43
GASLOG SYDNEY,Bermuda,ZCEJ8,LNG Tanker,Tanker (HAZ-A),2013,98451,98451,285 / 43
GRETE MAERSK,Denmark,OYCY2,Container Ship,Cargo ship (HAZ-A),2005,98648,98648,367 / 43
GUNVOR MAERSK,Denmark,OYGC2,Container Ship,Cargo ship (HAZ-A),2005,98648,98648,367 / 43
GERD MAERSK,Denmark,OYGM2,Container Ship,Cargo ship (HAZ-A),2006,98648,98648,367 / 43
ONE HANNOVER,Panama,3EIC8,Container Ship,Cargo ship (HAZ-A),2006,98747,98747,336 / 46
ONE HAMMERSMITH,Panama,3FQE8,Container Ship,Cargo ship (HAZ-A),2009,98747,98747,336 / 46
ONE HARBOUR,Panama,3EIQ5,Container Ship,Cargo ship,2007,98747,98747,336 / 46
ONE HUMBER,Panama,3EHZ5,Container Ship,Other type (HAZ-C),2006,98747,98747,336 / 46
HUMEN BRIDGE,Panama,3EKA7,Container Ship,Cargo ship (HAZ-A),2007,98747,98747,336 / 46
GJERTRUD MAERSK,Denmark,OYGH2,Container Ship,Cargo ship (HAZ-A),2005,98648,98648,367 / 43
ONE HONG KONG,Panama,3FKN5,Container Ship,Cargo ship (HAZ-C),2009,98747,98747,336 / 46
GUDRUN MAERSK,Denmark,OYAU2,Container Ship,Cargo ship (HAZ-A),2005,98648,98648,367 / 43
GASLOG SANTIAGO,Bermuda,ZCEH5,LNG Tanker,Tanker (HAZ-A),2013,98451,98451,285 / 43
GEORG MAERSK,Denmark,OYGN2,Container Ship,Cargo ship (HAZ-A),2006,98648,98648,367 / 43
HENRY HUDSON BRIDGE,Panama,3ETK4,Container Ship,Cargo ship (HAZ-A),2008,98747,98747,336 / 46
ONE HAMBURG,Panama,3FVW2,Container Ship,Cargo ship (HAZ-B),2009,98747,98747,336 / 46
MEIN SCHIFF 5,Malta,9HA3858,Passenger (Cruise) Ship,Passenger ship,2016,98785,98785,295 / 42
EVER LIBRA,Taiwan,BKIC,Container Ship,Cargo ship (HAZ-D),2012,98882,98882,335 / 49
EVER LASTING,United Kingdom,2FRK7,Container Ship,Cargo ship (HAZ-D),2012,98882,98882,335 / 49
EVER LEADING,United Kingdom,2FRK8,Container Ship,Cargo ship (HAZ-D),2012,98882,98882,335 / 49
EVER LAMBENT,United Kingdom,2FRE8,Container Ship,Cargo ship (HAZ-D),2012,98882,98882,335 / 49
EVER LOVELY,Singapore,9V9793,Container Ship,Cargo ship (HAZ-A),2015,99946,99946,335 / 46
LNG UNITY,France,FMJD,LNG Tanker,Tanker,2006,97741,97741,290 / 43
CLEAN ENERGY,Marshall Islands,V7LG8,LNG Tanker,Tanker,2007,100244,100244,288 / 44
EVER LUNAR,Taiwan,BKKF,Container Ship,Cargo ship (HAZ-D),2015,99946,99946,335 / 46
STENA BLUE SKY,United Kingdom,2JJW5,LNG Tanker,Other type (HAZ-D),2006,97754,97754,285 / 43
EVER LIVING,Singapore,9V9791,Container Ship,Cargo ship (HAZ-A),2013,99946,99946,335 / 46
LNG ALLIANCE,France,FMLU,LNG Tanker,Tanker,2007,97741,97741,290 / 43
EVER LEARNED,United Kingdom,2GNG3,Container Ship,Cargo ship,2013,98882,98882,335 / 46
GASLOG SINGAPORE,Bermuda,ZCDZ3,LNG Tanker,Tanker (HAZ-A),2010,97818,97818,285 / 43
MSC ELMA,Madeira,CQZM,Container Ship,Cargo ship (HAZ-D),2016,97805,97805,300 / 48
NYK VEGA,Panama,3EIJ5,Container Ship,Cargo ship,2006,97825,97825,338 / 46
NYK VESTA,Panama,3EJI4,Container Ship,Cargo ship,2007,97825,97825,338 / 46
NYK VIRGO,Singapore,9V5456,Container Ship,Cargo ship (HAZ-A),2007,97825,97825,338 / 46
NYK VENUS,Panama,3EJG5,Container Ship,Cargo ship,2007,97825,97825,338 / 46
LNG BORNO,Bermuda,ZCDW4,LNG Tanker,Tanker (HAZ-A),2007,97874,97874,285 / 43
DAPENG SUN,Hong Kong,VRDJ3,LNG Tanker,Tanker (HAZ-A),2008,97871,97871,292 / 43
LNG OGUN,Bermuda,ZCDW3,LNG Tanker,Tanker (HAZ-A),2007,97874,97874,285 / 43
TANGGUH JAYA,Panama,3ETB6,LNG Tanker,Tanker (HAZ-C),2008,97897,97897,285 / 43
DAPENG STAR,Hong Kong,VRFT7,LNG Tanker,Tanker (HAZ-A),2009,97871,97871,292 / 43
TANGGUH PALUNG,Panama,H9NH,LNG Tanker,Tanker (HAZ-A),2009,97897,97897,285 / 43
SHEN HAI,Hong Kong,VRID2,LNG Tanker,Tanker (HAZ-D),2012,98068,98068,290 / 43
NUSANTARA REGAS SATU,Indonesia,-,Offshore Support Vessel,-,1977,96700,96700,293 / 42
ORMOND,Bermuda,-,Bulk Carrier,-,1986,96794,96794,300 / 47
GASLOG SALEM,Bermuda,ZCEN7,LNG Tanker,Tanker (HAZ-A),2015,98075,98075,285 / 43
HANOI BRIDGE,Panama,3FHS3,Container Ship,Cargo ship (HAZ-C),2013,96790,96790,335 / 46
ONE HOUSTON,Panama,3FLC7,Container Ship,Other type (HAZ-C),2012,96801,96801,335 / 46
HANGZHOU BAY BRIDGE,Panama,3FMK3,Container Ship,Cargo ship (HAZ-C),2012,96790,96790,335 / 46
HELSINKI BRIDGE,Panama,3FIW4,Container Ship,Cargo ship (HAZ-C),2012,96801,96801,335 / 46
MSC DESIREE,Madeira,CQZO,Container Ship,Cargo ship,2017,96816,96816,300 / 48
MSC ROMANE,Madeira,CQZN,Container Ship,Cargo ship (HAZ-A),2017,96816,96816,300 / 48
MARAN GAS CORONIS,Greece,SXLQ,LNG Tanker,Tanker,2007,97491,97491,285 / 43
MSC GIULIA,Madeira,CQZP,Container Ship,Cargo ship (HAZ-D),2017,96816,96816,300 / 48
SIMAISMA,Greece,SWSP,LNG Tanker,Tanker (HAZ-A),2006,97496,97496,285 / 43
GOLAR MARIA,Marshall Islands,V7KE3,LNG Tanker,Unknown,2006,97491,97491,277 / 43
MSC ATHENS,Malta,9HA4025,Container Ship,Cargo ship (HAZ-B),2013,96510,96510,300 / 48
MSC CATERINA,Panama,3ELQ3,Container Ship,Cargo ship,2015,96333,96333,300 / 48
MSC AGRIGENTO,Panama,3FYR9,Container Ship,Cargo ship (HAZ-A),2013,96375,96375,300 / 48
SAN FRANCISCA,Marshall Islands,V7GO6,Container Ship,Cargo ship,2015,96386,96386,300 / 48
SAN FERNANDO,Marshall Islands,V7GO3,Container Ship,Cargo ship,2015,96386,96386,300 / 48
MSC ALGHERO,Panama,3EVX2,Container Ship,Cargo ship (HAZ-D),2013,96375,96375,300 / 48
SAN FELIX,Marshall Islands,V7GN9,Container Ship,Cargo ship,2014,96386,96386,300 / 44
CMA CGM MAGDALENA,Malta,9HA5140,Container Ship,Cargo ship,2016,96424,96424,300 / 48
SAN FELIPE,Marshall Islands,V7GN7,Container Ship,Cargo ship,2014,96386,96386,300 / 48
MAERSK SHIVLING,Liberia,D5JH8,Container Ship,Cargo ship,2016,96424,96424,300 / 48
CMA CGM URUGUAY,Malta,9HA5141,Container Ship,Cargo ship (HAZ-A),2015,96424,96424,300 / 48
BW CATCHER,Panama,3EZP5,Offshore Support Vessel,Tanker,2017,96616,96616,241 / 50
MSC PALAK,Madeira,CQZL,Container Ship,Cargo ship (HAZ-A),2016,97805,97805,300 / 48
MILAHA QATAR,Malta,9HA3092,LNG Tanker,Tanker (HAZ-D),2006,96508,96508,283 / 43
CSAV TRAIGUEN,Liberia,D5EP4,Container Ship,Cargo ship (HAZ-D),2013,96628,96628,300 / 48
CSAV TOCONAO,Liberia,D5DV4,Container Ship,Cargo ship (HAZ-A),2013,96628,96628,300 / 48
CMA CGM TIGRIS,Malta,9HA3801,Container Ship,Cargo ship,2014,95793,95793,300 / 48
CMA CGM VOLGA,Malta,9HA3846,Container Ship,Cargo ship (HAZ-A),2015,95793,95793,300 / 48
CMA CGM AMAZON,Malta,9HA5144,Container Ship,Cargo ship (HAZ-A),2015,96424,96424,300 / 48
EJNAN,Bahamas,C6VW6,LNG Tanker,Tanker (HAZ-A),2007,95824,95824,283 / 43
CMA CGM LITANI,Malta,9HA3793,Container Ship,Cargo ship (HAZ-A),2014,95793,95793,300 / 48
GOLAR FREEZE,Marshall Islands,V7TH 4,Offshore Support Vessel,Tanker,1977,95879,95879,287 / 43
LUSAIL,Bahamas,C6TH2,LNG Tanker,Tanker (HAZ-C),2005,95824,95824,283 / 43
AL THAKHIRA,Bahamas,C6UT5,LNG Tanker,Tanker (HAZ-D),2005,95824,95824,283 / 43
MSC ATHOS,Malta,9HA4026,Container Ship,Cargo ship (HAZ-A),2013,96262,96262,300 / 48
NEPTUNE,Norway,LADV7,Offshore Support Vessel,Tanker (HAZ-A),2009,96153,96153,283 / 43
MSC SOFIA CELESTE,Panama,H8VF,Container Ship,Cargo ship (HAZ-A),2015,96331,96331,300 / 48
GOLAR WINTER,Marshall Islands,V7RE2,Offshore Support Vessel,Tanker (HAZ-A),2004,95970,95970,277 / 43
ONE HONOLULU,Panama,3EUQ8,Container Ship,Cargo ship (HAZ-C),2012,96790,96790,335 / 46
CMA CGM URAL,Malta,9HA3845,Container Ship,Cargo ship (HAZ-A),2015,95793,95793,300 / 48
MSC MICHELA,Madeira,CQID5,Container Ship,Cargo ship (HAZ-D),2016,95514,95514,300 / 48
MSC ANTONELLA,Madeira,CQZF,Container Ship,Cargo ship (HAZ-A),2016,96331,96331,300 / 48
MSC MAXINE,Panama,3EBJ4,Container Ship,Cargo ship,2015,95514,95514,300 / 48
MSC CLEA,Madeira,CQID6,Container Ship,Cargo ship (HAZ-A),2016,95514,95514,300 / 48
MSC SILVIA,Panama,3FFR5,Container Ship,Cargo ship (HAZ-A),2015,95514,95514,300 / 48
