User_Name,Rating,Rating_Title,Reviewed_Date,Review_Context,Helpful_Count
The Selfish Betrayals,5.0 out of 5 stars,Best phone in its price range,Reviewed in India on 6 November 2019,"<span>This phone has a very good camera. It is good even in dark. Though depth of the pic feature is good, the zoom is only available till 2x.<br><br>The battery works really well. If you charge to 100%, it should last for over 24 hours on moderate usage. Fast charging is available.<br><br>Since RAM is on the higher side, it is good for gaming enthusiasts.<br><br>The display is crisp and the software is smooth.<br><br>It is tough to grab this one because of the excessive demand. The best part is that even the waitlist gets full within few minutes of the start of the sale.</span>",12 people found this helpful
vivek kumar,5.0 out of 5 stars,I loved it,Reviewed in India on 6 November 2019,<span>Nice product</span>,
Kunal Garasiya,5.0 out of 5 stars,Killer smart phone by mi,Reviewed in India on 9 November 2019,"<span>This phone is real killer . I really love this phone .Killer performance , killer camera ,killer design. Great job mi 👍</span>",
Kiran RajeMahadik,5.0 out of 5 stars,One of the best in this segment,Reviewed in India on 8 November 2019,<span>Awesome performance<br>Awesome camera<br>Great Performance<br>Nyc battery backup<br>Fast finger print<br>All-rounder mobile</span>,
Hari,5.0 out of 5 stars,TECHNOLOGY AT AFFORDABLE COST,Reviewed in India on 2 December 2019,"<span>First of all, it's the best budget phone under 15k. To be frank redmi is the phone known for ""TECHNOLOGY AT AFFORDABLE COST"".<br>Pros:<br>1)The phone's performance is top notch<br>2) The camera is considerably good. You can't expect much of pro pics even though they mention it as 64mp .<br>3) The design is Ultimate. It's like competing with One plus 7 pro. It's resemble merely like a premium brand phones. The electric Blue is lit.<br>4) Overall the phone is best for it's speedy and glassy and classy performance.<br><br>Cons :<br>1) If you're considering this phone for your privacy and banking purpose it is not at all advisable. There are a lot of advertisement and access to third parties. It is merely easily accessible by any third parties which envisages them to pop advertisement for us.<br><br>2) The screen quality is OK as it is LCD. Now it's the era a of AMOLED displays.<br><br>3) Heating is considerably fine .<br><br>4) Prone for camera scratch so use a good back cover .</span>",
Nick,3.0 out of 5 stars,Awesom fone,Reviewed in India on 8 November 2019,<span>Product is awesome. Super speed with super cam and pretty handsome battery life. One less star for not providing proper accessories as mentioned in product description. Soft case is missing.</span>,14 people found this helpful
Imperial,5.0 out of 5 stars,Look for better options.,Reviewed in India on 7 November 2019,"<span>I find the phone great...It's heavy compared to other cell phones (200 gms)<br><br>I must says it's better than One Plus Series considering the functions &amp; the price.<br><br>The Night Camera is useless, but the 64 mp is great.<br><br>Charging is excellent, no need to buy any additional charger 18 w is great.<br><br>Video recording, Onscreen recording &amp; Call Recording is excellent.<br><br>MI interface is very smooth &amp; easy for non MI users like me.<br><br>Sound could have been bit louder, but I still love my Halo White phone.<br><br>Functioning is very very smooth &amp; it's a pleasure using it. Worth every penny of my hard earned money. I also got a discount of 1800 Rs using the Axis Bank Card.<br><br>My Review after using for 2 months -<br><br>Too too heavy.<br>Too long cannot use by single hand.<br>Heating issues during recording &amp; also during charging.<br>Camera is really useless.<br>Takes too long to charge.<br><br>Personally I am fed up with its weight &amp; switching to my One Plus.</span>",9 people found this helpful
Kiran,5.0 out of 5 stars,Classic,Reviewed in India on 6 November 2019,<span>The phone is a beast in this price range</span>,16 people found this helpful
Rohit T.,1.0 out of 5 stars,I would recommend Samsung M 30s Over this phone. That phone is way too better than this.,Reviewed in India on 11 November 2019,"<span>Too unhappy with the product. First of all, Package I received was not as shown in product description. Cover and adapter cable was missing, phone I added to cart was green and I got was black. Phone is too heavy and still the battery life is not that good. Fingerprint scanning is slow.<br>Camera is good but display not. Spending 16000 just for good camera is not worth.<br>Samsung M30 is recommended over this phone. As it works smoother, has premium look, is lighter, have better display and performance is good, camera is of almost same quality and battery life is way too good than Redmi Note 8 Pro.</span>",
Prakash,4.0 out of 5 stars,Redme note 8 pro,Reviewed in India on 7 November 2019,<span>Heating issue</span>,15 people found this helpful
Mahesh Thawani,5.0 out of 5 stars,Awesome really buy this mobile,Reviewed in India on 12 November 2019,<span>Camera is awesome in Night mode and in 64 mp also<br>Good battery back up there no heat while playing pubg no lagging<br>Fingerprint is also good no issue I have face till now after purchase and observation on mobile on 25th October  it's delivered to me<br><br>So Happy with this mobile and love<br>Thanks Amazon and MI 😊😊</span>,
Nikhil,4.0 out of 5 stars,Decent buy,Reviewed in India on 6 November 2019,<span>No major issues seen so far expect the auto brightness feature does not function correctly</span>,13 people found this helpful
Bomto g.,5.0 out of 5 stars,From arunachal Pradesh.,Reviewed in India on 12 November 2019,"<span>Fantastic product ,</span>",
Vikas Kumar,5.0 out of 5 stars,Supr,Reviewed in India on 7 November 2019,<span>Good</span>,14 people found this helpful
RàjEsh Gøurannavar,5.0 out of 5 stars,The Best !,Reviewed in India on 9 November 2019,<span>Best Phone in 20k</span>,
Saurabh,1.0 out of 5 stars,Worst phone ever.,Reviewed in India on 16 November 2019,"<span>Very much disappointed by the phone. I don't know why they are advertising this phone on the ground of liquid cool technology. After half an hour of continuous use the phone is heating enormously. And the battery backup is not up to the mark. And u get better display at this price range. And this is not a gaming phone. So if any gamer who wants to buy this phone for gaming purpose, please go for another option. Overall bht bekaar phone h. Paise doob gye. Mt lena ye phone.</span>",11 people found this helpful
Kailash Ranpise ,5.0 out of 5 stars,Fabulous Purchase.. Just Grab it Guys.... 🖤🖤🖤🖤,Reviewed in India on 12 November 2019,<span>Trust me.... Close your eyes and go for it... No Company provides such fully loaded phone at this price segment... Mi Note 8 Pro is fully loaded phone with great features.. I don't have words to comment for it's camera.. Camera is of high quality... Thanks Xiaomi...</span>,
RAJ KUMAR PRAJAPATI,5.0 out of 5 stars,Wooww phone,Reviewed in India on 6 November 2019,<span>Nice aura design in color.<br> slick fill on hand. good grip to carry phone.<br>Phone support fast charging and i got my phone full charge fast by its 18w charger.<br>After phone full charger I got approx 1  days battery life to do heavy works.<br>This phone has better screen to body ratio.<br>Gaming performance awesome.<br>#redmi/#mi/😃</span>,11 people found this helpful
manivasagam,3.0 out of 5 stars,slow-motion camera issue,Reviewed in India on 15 November 2019,"<span><div id=""video-block-RW8LEPYVJ0AII"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-eu.ssl-images-amazon.com/images/I/91Asc3wIJES.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-eu.ssl-images-amazon.com/images/I/81k3xmc3L6S.png"" class=""video-slate-img-url""> while starting slow-motion camera , hole screen start to blink, after recording the video, video also looks same.</span>",12 people found this helpful
prasanna,5.0 out of 5 stars,If you are looking for gaming purpose go ahead.,Reviewed in India on 6 November 2019,<span>Gaming is smooth. I took this device for gaming reason and I'm happy. you can play pubg without lag and on high graphics.<br>Camera is another feature on this device. there are many modes you can enjoy with.<br>Alexa is great feature.<br>Finally great Budget phone.</span>,11 people found this helpful
Rishi pratap singh,5.0 out of 5 stars,Nice mobile at good price,Reviewed in India on 11 November 2019,<span>Nice mobile</span>,14 people found this helpful
SHRIKANT,5.0 out of 5 stars,Value For Money😍,Reviewed in India on 9 November 2019,"<span>All these fake news about overheating are totally false. I'm a hardcore GAMER and usually play for 3-4 hrs, yet no trace of overheating.<br>Yes , it has a genuine problem, while playing the hand we do not get a comfortable hold. The camera gets smudged.<br>Also the Camera bump is too big.<br>.<br>.<br>just a genuine buyer with a true review 😇</span>",10 people found this helpful
Abhishek,1.0 out of 5 stars,Bad,Reviewed in India on 18 November 2019,<span>Very bad product. Voice not going to other hand during calling when WiFi is on. No response from amzon even for return or replacement.</span>,13 people found this helpful
N~,1.0 out of 5 stars,Waste of money product,Reviewed in India on 16 November 2019,"<span>I am writing review after 5 days of use for my highest configuration Redmi Note 8 pro.<br>I bought this set with high expectations but extremely disappointed.<br>7% battery gets drained in just  setting up the phone.<br>18 w charging can't believe it , it took 40 mins to charge 30%.<br>Back panel always deep oil finger prints if not cleaned immediately. 10% of battery got drained when on hotspot.<br>I am really hoping either I get replacement for this set or refund of my money from Amazon.</span>",
Shark,2.0 out of 5 stars,Excellent phone with some Technical issues,Reviewed in India on 7 November 2019,"<span>Good phone and value for money. However phone has performance and technical issues. I faced 2 technical issues<br>a) Proximity sensor is faulty, when sensor is on the screen goes off immediately after call is received or placed. Once screen is off you can't wake the screen by pressing on button or double tap or through finger print sensor. Screen only activates once the call is disconnected by other person. Due to this we cannot make calls to IVR as we don't get screen to select options<br><br>b) Finger print sensor does not work if you are activating phone after 2 to 3 hours, once you have activated using on button then onwards finger print sensor will respond<br><br>c) Some of the text in widgets some.up in Chinese when all other text is in English.<br><br>d) had experienced lag prior to installing updates<br><br>Except above 4 issues this is an excellent phone.</span>",
Rama Chaudhary,1.0 out of 5 stars,Please dont waste your money on it,Reviewed in India on 6 November 2019,<span>Not up to the mark<br>To much heating problems</span>,14 people found this helpful
Shubha,5.0 out of 5 stars,Amazing phone,Reviewed in India on 3 December 2019,<span>Gorgeous colour.. amazing experience..<br>Delivered on time<br>Thanks Amazon</span>,
Mahesh Babu,5.0 out of 5 stars,Excellent mobile with low price,Reviewed in India on 9 November 2019,"<span>Very good experience with low cost...  Mobile finishing also very good, camere quality also fine... Like this mobile</span>",
Lokesh,1.0 out of 5 stars,Wast of money,Reviewed in India on 6 November 2019,<span>Wast of money ..proximate sensor problem in my mobile it's a big problem. I complant to Amazon and mi care no use they are not taking return also 14999 los of money</span>,35 people found this helpful
syed sajid razvi,1.0 out of 5 stars,Third class company given faulty piece not even giving replacement nor return,Reviewed in India on 7 November 2019,<span>Given me faulty piece as get switched off when i got same day i requested to return as my data get erased from that so i requested for return but as it is showing return date 4 november after filling details that product quality not good it is showing so 4 nov date i waited when called on 4 nov and filled details again they are not giving any response not even inserted sim card in it till now and no update i am getting so third class company never purchase anything from amazon else you will suffer like me anyhow i will lodge complaint in consumer court and consumer board i will not loose my hard money</span>,9 people found this helpful
Shalini,1.0 out of 5 stars,Sim card slot,Reviewed in India on 9 November 2019,<span>Sim card not working properly with dis mobile</span>,12 people found this helpful
Amazon Customer,1.0 out of 5 stars,Very Disappointed.,Reviewed in India on 14 November 2019,<span>Seriously guys not waste ur money on ths phone....Camera quality is not up to the Mark...  worst phone for capurting the image and video calls ...Very dissatisfied with the phone..!! Exluding camera quality the phone is just good .</span>,11 people found this helpful
Jahir Hussain,5.0 out of 5 stars,Overall good,Reviewed in India on 12 November 2019,<span>Best phone in this price segment. Overall good. Avoid the controversial statement. Value for money.</span>,11 people found this helpful
Amazon Customer,5.0 out of 5 stars,Redmi note 8 pro user review,Reviewed in India on 6 November 2019,<span>I had purchased this mobile on 21st October at first flash sale and it get delivered by 22nd October. after using for 15 days now I'll share my user experience pros &amp; cons<br>At initial impressions the built quality is awesome and it gives a premium feel<br>Pros:<br>* premium built quality<br>* awesome camera performance<br>* good processer<br>* gaming performance<br>Cons:<br>* average low light photography<br>* finger print sensor in camera bump feels uncomfortable<br>* miui ads<br>Final verdict<br> It's a value for money phone in this segment</span>,8 people found this helpful
Sunil Vadher,2.0 out of 5 stars,Redme Note 8 pro is so so,Reviewed in India on 6 November 2019,"<span>It is too slow so it is doubt that is really 8GB of RAM, what is parameter to messure RAM? Only look is good, not impressive  one.</span>",10 people found this helpful
Ranajit Sahana,1.0 out of 5 stars,"Don't buy this phone, realme is much better than this.",Reviewed in India on 10 November 2019,"<span>Camera is worst, Display screen is worst, battery drains out in one day,it is worst, Alexa doesn't work properly.<br>WORST CAMERA &amp; DISPLAY SCREEN<br>Redmi need's to improve it.</span>",11 people found this helpful
hitesh sarsava,5.0 out of 5 stars,Awesome phone with low budget,Reviewed in India on 6 November 2019,<span>Awesome phone. It's display is not much good. And brightness of phone also not as much as other phones have.</span>,11 people found this helpful
vedant,4.0 out of 5 stars,Amazing device,Reviewed in India on 7 November 2019,"<span>Front camera average one,  rathar than this everything is okay one more thing is that it has dedicated memory card slot that one thums up for me</span>",10 people found this helpful
Nishanth,3.0 out of 5 stars,Redmi is very big disappoint,Reviewed in India on 16 November 2019,"<span>Never worth spending 18k to get a product which cannot perform well as expected..<br><br>UI - 3/5<br>CAMERA - 4.5/5<br>BATTERY LIFE - 2/5<br>Performance - 4/5 but heats up if u play games with HD or watch movies HD, drains your battery very faster.. 2hrs I lost 50% battery playing Pubg or COD.. Instead pay extra 12k and get a better one like One+ 7T or Branded phones..<br><br>SORRY REDMI, DISAPPOINTED VERY MUCH</span>",8 people found this helpful
Ram Shankar yadav,5.0 out of 5 stars,Awesome purchase..,Reviewed in India on 6 November 2019,<span>Product is overall very good..<br>Some cons..<br>Display good but if it would be super Amloed then this will be better.<br>Front camera should be improved too.</span>,
Dileep ,5.0 out of 5 stars,Value for money,Reviewed in India on 8 November 2019,<span>supper camara and big battery backup  value for money</span>,
BIPIN PATARIYA,3.0 out of 5 stars,Not so bad,Reviewed in India on 6 November 2019,<span>Phone camera is normal not so good and gorilla glass is not good quality. performance is good.</span>,11 people found this helpful
Raghavendra Raghav,1.0 out of 5 stars,8pro,Reviewed in India on 6 November 2019,<span>Worst</span>,13 people found this helpful
Kumar kishor,3.0 out of 5 stars,Lots of disappointment from xiaomi,Reviewed in India on 16 November 2019,"<span>Like- build quality,performance.<br><br>Dislike- weight distribution, over heating isssue during  gaming and using camera, low light camera performance very bad,netflix or amazon hd content are not supported properly,gcam not supported,notification led light not working properly,lots of ads in the phone,speaker is not so loud,fast charging is very slow.</span>",8 people found this helpful
S kumar,5.0 out of 5 stars,Allrounder 👌👌👌,Reviewed in India on 6 November 2019,<span>Everything is superb in this mobile<br>Except fast charging it takes almost 2hrs to full charge<br>Excellent camera<br>Good battery backup<br>Earpiece is loud 👌<br>Display quality is awesome<br>Premium midrange mobile 😁😁</span>,
Amazon Customer,1.0 out of 5 stars,Video Calling Camera Quality Very Bad & dull,Reviewed in India on 11 November 2019,"<span>Dear Team,<br><br>Every thing is good but while i'm going to make video call to any app's like whastup,IMO, bootm getting the video quality very bad, while take normal picture throw back and front camera that is fine.<br><br>I hope Mi team will be working on my concern,<br><br>Regard's<br>Monu Nirmal<br>8850026204<br>7738289590</span>",9 people found this helpful
Ravi Keshari,5.0 out of 5 stars,MONSTER PHONE 😍,Reviewed in India on 6 November 2019,<span>If You want to buy mid-range Phone close your eyes &amp; go for it. 😍<br>  ⭐ Honest Review ⭐<br>Rear Camera - Monster Amazing😍 - ⭐⭐⭐⭐⭐<br>Front camera - Average - ⭐⭐⭐⭐<br>Battery Backup - ⭐⭐⭐⭐<br>Gaming Performance - ⭐⭐⭐⭐⭐<br>Heating issues - No -⭐⭐⭐⭐<br>Alexa Working - Yes - ⭐⭐⭐⭐⭐<br>Dual VoLTE - Yes (No Network issues found)<br>Allrounder Performance - ⭐⭐⭐⭐🌠</span>,8 people found this helpful
jacob mathew,5.0 out of 5 stars,It's a masterpiece for this price 👌👍,Reviewed in India on 30 November 2019,"<span>First look: The phone handles like a beauty<br>• Didnt have any ads Poppin up like all the reviews given in the net<br>• Although thre were some apps installed without my permission<br>• The main camera is good but the front camera is just trash, but can be made better using some camera apps<br>• Installing the poco launcher is really helpful because people who were using phones from other brands also might get a similar interface<br>•Im one of the first people to buy the electric blue colour, it does give a rather eye-catching touch but might feel a little too shiny for regular use<br><br>Review after 3 weeks of use<br>• The phone still handles like a beauty<br>• I've tried a few games and all in high settings and they worked wonderfully<br>• Didn't really experience any heating issues too<br>• The battery is  amazing. U can use it with ease for 2 days<br>• The main camera after comparing with many of the new phones released recently have given this phone the throne for one of the best smartphone camera's there is in a midrange product</span>",6 people found this helpful
jayashri b.,5.0 out of 5 stars,Satisfied...,Reviewed in India on 8 November 2019,<span>Very smooth ... good camera ...I love the phone.<br>6 GB ram 128 GB ROM phone just ₹14400 .<br>Unbelievable price..</span>,
Pravin Patil,1.0 out of 5 stars,Different item received.,Reviewed in India on 6 November 2019,<span>Different item received.</span>,12 people found this helpful
Bhavesh assudani,5.0 out of 5 stars,Best phone ever #redmi #mi,Reviewed in India on 6 November 2019,"<span>The Xiaomi Redmi Note 8 Pro is an upgrade over the Note 7 Pro in almost every count. At least on paper. In the real world, there is a boost in gaming performance and display quality while the added Alexa integration will be welcomed by some. The camera quality remains more or less the same despite a newer sensor, and that’s not necessarily a bad thing. Addressing a few burning issues, we initially concluded the Note 8 Pro might be overheating during longer gaming sessions. While the phone does run warmer than say the Realme 5 Pro, it doesn’t go beyond 50 degrees, which is what we consider overheating in smartphones. The battery life of the phone is just as good as its predecessor, despite a larger battery. By the looks of it, Xiaomi took a bold step by choosing to go with a MediaTek flagship SoC and it seems to have paid off. There’s no reason why shouldn’t buy the Redmi Note 8 Pro, save for the pesky ads in the UI.<br>#redmi #mi</span>",6 people found this helpful
Amazon Customer,3.0 out of 5 stars,Not so good if compared with previous versions of Redmi 5 pro and 6 pro,Reviewed in India on 11 November 2019,"<span>Photo quality is good if you are taking pics of scenery but selfie camera is very bad. It highlights every spot on your face n even the sweat n oil though you smoothen the pics. Beautify option is not good as 5pro or 6 pro. Battery dries out very soon n takes too much time to change.. i was using Redmi note 5 pro.. that Phone' battery life is better than this phone.. Too many adds in every app, no option to shut them. Phone is quite heavy, it's definitely not for people with small palms.the cover provided with phone is pathetic, does not cover camera very well unlike the cover provided with 5 pro. One drop &amp; camera glass willl break for sure.. Good for gaming.. pubg runs very smooth and graphics looks amazing..but it drains the battery in 2 games.. in previous version we had finger touch option for taking pics. We do not have that option in this phone.</span>",6 people found this helpful
Nikhil songara,5.0 out of 5 stars,#redmi❤️,Reviewed in India on 6 November 2019,<span>#redmi❤️#Mi❤️ the best smart phone ever it has many extra features that are very usable in smartphone and i hope all the people like this phone i am in love with note 8 proo❤️</span>,9 people found this helpful
kalpesh,1.0 out of 5 stars,Please don't byy,Reviewed in India on 12 November 2019,<span>Very bad camara..<br>And i have also very bad experience for Amazon<br>Please don't by any mobile for Amazon site<br>Very bad return Services for Amazon..<br>I have purchase this phone in 1st sale and request to return but not respons for Amazon..</span>,9 people found this helpful
lakshmikanth,5.0 out of 5 stars,Awesome mobile,Reviewed in India on 8 November 2019,<span>Wonderful mobile</span>,11 people found this helpful
nilesh nayee,5.0 out of 5 stars,Exlent phon i m so happy,Reviewed in India on 8 November 2019,"<span>This is most beutyfull phon in this price specially super cliarity of camera 64 mp , i m long time using of samsung phon , first time purchace of redmi phon with good experiance i bought this only 14250 k with discount of amazon sale thanks to amazon but i m slitly disappointed for disply bcoz i m long time using of super amoled display &amp; thair lcd display , amoled dosplay is much better than ips lcd didplay ...other wise exelent phon this price budget......</span>",
Tejas Jarande,5.0 out of 5 stars,💣💣🔫🔫PUBG🔫🔫💣💣,Reviewed in India on 13 November 2019,<span>BEST FOR PUBG🤩....GAMERS DON'T WAIT.....AIMING IS DONE VERY EASY...GRAFICS 10 ON 10 .....BEST EXPERIENCE TO PLAY PUBG....BATTERY GOOD....8 GAMES OF CLASSIC MODE IN 80%CHARGING .....TDM IS JUST 🥰🥰🥰🥰🥰🥰.....KILLING 20 IN EACH GAME....</span>,9 people found this helpful
K.l,1.0 out of 5 stars,Not a real Redmi Mobile,Reviewed in India on 8 November 2019,<span>Poor display.<br>Poor camera.<br>Heating Issues.<br>Sound Output can be better.<br><br>Shd have waited for realms X2.<br><br>Wrong purchase.</span>,10 people found this helpful
utpalkumar sursinhbhai vasava,1.0 out of 5 stars,Camera quality poor bhangar,Reviewed in India on 6 November 2019,<span>Camera quality poor<br>Fingerprint good<br>Battery life good</span>,10 people found this helpful
Ruthvik D.,1.0 out of 5 stars,Bad product from Amazon,Reviewed in India on 7 November 2019,"<span>Poor,bad product ever. Camera is not good,full blur and poor quality pictures.<br>I had replaced it once still the same problem with other one.</span>",10 people found this helpful
Karthik,1.0 out of 5 stars,Pathetic purchase,Reviewed in India on 27 November 2019,"<span>8 then i realised incoming call issue, but from few days thought it can be network problem but in a day or two all my incoming calls were blank like I actually attend the call but can't hear anything. Then I dialed from my wife mobile only then understood even though my phone shows I attended the call but it's still ringing on callers side. Software issue not support from Amazon as kept repeating same dialogue with terms n policy. I kindly advise better stop buying online who does not care customer rather than their policy.</span>",7 people found this helpful
jignesh,5.0 out of 5 stars,Good performance......,Reviewed in India on 13 November 2019,<span>Awesome ...... superb.....mind blowing......</span>,9 people found this helpful
vipul kashiv,5.0 out of 5 stars,best phone under 16000,Reviewed in India on 11 November 2019,<span>very nice phone ever..<br>super gaming performance..<br>smooth and fast apps opening time..<br>64 MP camera amazing...<br>fast charging...</span>,8 people found this helpful
Mahesh Khyadad,4.0 out of 5 stars,Monster,Reviewed in India on 6 November 2019,<span>Value for money ... Loved it ... Camera and game monster</span>,
Patil V.,5.0 out of 5 stars,My expirance since I am using it from 23 oct. U should Go for it??,Reviewed in India on 13 November 2019,<span>Best battery🔋<br>Quick charging<br>Best Camera and it's functions<br>Best Display.....  Not as superAmolet but not even less then that....<br>Runs more faster then u.....<br>User friendly....<br>I liked it's network capturing strength even when other phones don't have network... Even then u Ll not lose connectivity😃😃 I have experienced it</span>,
Pratik,5.0 out of 5 stars,Nice Product,Reviewed in India on 15 November 2019,<span>The camera quality is good...No lag while playing games on high graphics....good overall performance....good phone for a 15k budget.</span>,
Juthi Sardar,1.0 out of 5 stars,Upset,Reviewed in India on 7 November 2019,<span>Very bad display. Sound problem. Expected some better unit</span>,11 people found this helpful
AS,4.0 out of 5 stars,Great phone at pretty much affordable price,Reviewed in India on 6 November 2019,"<span>So far the device redmi note 8 pro looks great at mid price range and i can definitely say that it's the bang on successor of redmi mote 8 pro ,this particular colour gamma green in love😍 with this colour.<br>Camera performance so far it's excellent still lot more to capture at the end<br>Battery performance so far pretty nice as it is giving a day backup easily with so many work done on my redmi note 8 pro.<br>Back cover is pretty decent but the camera bump is not protected through that cover 0.5 star minus for cover thing</span>",6 people found this helpful
Mansur,2.0 out of 5 stars,80℅ unhappy,Reviewed in India on 13 November 2019,"<span>1. Electronic and costest products should be packed with in box package, but this seller simply packed with amazon COVER only thats the first drawback.<br>2. Comming up to product, I dont know why xiaomi said its 18w fast charger but performance not as expected, taking 5-7 hours to full the charge.<br>3. Mobile getting heat while using internet/camara /game to 15-20 mnts,  then why xiaomi inbuilt cooling technology. Dont know what is the use of that.<br>4. Display is not effected as much as expected.<br>5. Very irritating thing is finger prints easily stamping on back side of mobile. Thats huge problem looking very dirty.<br>6. Coming up to camara too much of bobble  from body, thats damage very quick. I think its very big essert this model.<br>7. Pouch is not fixing properly after installing tempered glass. So Should buy another pouch.<br>8. Glass, touch, design are good.<br>9. Performance quick responce.<br>10. Camara aaswam.<br>Finally not satisfied to bought this model  after long eagerly wait..</span>",4 people found this helpful
Premkumar,4.0 out of 5 stars,Dissatisfied,Reviewed in India on 14 November 2019,<span>Not satisfied with camera clarity as campared to 24MP primary camera its bring a negative impact with expectation..</span>,9 people found this helpful
ruhisalam,1.0 out of 5 stars,Don't buy this,Reviewed in India on 16 December 2019,<span>it is very faltu froduct  don't  buy anyone<br>bcz  I am buy to this phon Amazon last 10 December Amazon delevery to my home  🏡 12 December  and I am receive this product  I souct bcz product paknig is very bad  show it not men esue  meN esue is  only 2 days  froblm started<br>first prblm is  bike not properly working<br>secend charging prblm<br>third  camera quality is very bads  show don't buy this phon</span>,
Rohit arora,5.0 out of 5 stars,Awesome product,Reviewed in India on 7 November 2019,<span>#redmi#MI# 😍😍😍😍<br>I GOT REDMI NOTE 8 PRO IN FIRST SALE.CAMERA QUALITY IS AWESOME ND note 8 pro colur nd design awesome...nd looking very beautiful. Nd now felling awesome nd display quality is so good Thanks mi</span>,8 people found this helpful
Ramesh .k,1.0 out of 5 stars,Don't buy redmi note 8 pro,Reviewed in India on 18 December 2019,<span>I am very very disappointed with redmi note 8 pro. Bought this mobile on 30 nov 2019. And 18 dec 2019 started problem today it got hanged and went in reboot system and nit getting start . After several try it was not opening . And lastly I have to take the mobile in service center they have opened tha back cover and software updated. If within 19 days this type of problems will happen then a customer who have paid for mobile . How can except that this mobile will work properly atleast a year.  Disappointed from my side because I have wasted a full day of mine . Because of this mobile. And in service center also they took 2 and half hour to resolve . A big ? For customer . I suggest don't buy redmi note 8 pro. Very very bad</span>,6 people found this helpful
Rajan Raj,5.0 out of 5 stars,Best phone,Reviewed in India on 11 November 2019,<span>Best phone under best range... Amazing performance and battery backup is good... With good quality<br>#milove</span>,9 people found this helpful
KUMER MEENA,5.0 out of 5 stars,Thanks,Reviewed in India on 7 November 2019,<span>Best phone in price</span>,
Amazon Customer,1.0 out of 5 stars,Please don't buy it.,Reviewed in India on 7 November 2019,"<span>After 25 days of usage ( worst phone ever)<br><br>*Heating issue is real, even after 15 mins of normal usage phone gets very warm from the back<br><br>* Battery backup is very poor, afterall it's mediatek processor.<br><br>*Screen quality is very poor, they should have provided amoled it's normal in these days.<br><br>*Camera quality is very poor<br><br>*Fast charging doesn't work coz it's mediatek processor and charger is Qualcomm<br><br>*So many bloatwares plus spammy notifications from Xiaomi apps, plus so many ads in ui.<br><br>*Sensors don't work properly<br><br>*Headphone jack doesn't work properly<br><br>Conclusion :- very disappointed and i would suggest everyone to ignore this phone, galti se bhi mt khareedna bhai</span>",6 people found this helpful
manu chandrawanshi,4.0 out of 5 stars,Excelente,Reviewed in India on 11 November 2019,<span>Awesome product I'll fallen loved❤😍😍</span>,
SRS Exclusives,1.0 out of 5 stars,Disappointed first time ever in 5 Years from Xiaomi,Reviewed in India on 19 January 2020,"<span>First time ever this smartphone from Xiaomi disappointed me as I was a Xiaomi fan since second smartphone from Xiaomi that is Redmi 1S launched in India. After 1S I had used many Xiaomi smartphones from Redmi Note 3, Redmi Note 4, Redmi Note 5, Redmi 2 Prime, Mi 4i, Mi A2, Poco F1, Redmi Note 7, Redmi Note 7 Pro and Mi 5. But first time ever I am disappointed with any Xiaomi smartphone and that phone is none other than Redmi Note 8 Pro. I had even visited Redmi Note 8 Pro launch event and there they showcased this smartphone that good that I wanted to purchase it. So finally I did buy the phone thinking about all these features like cooling pipe, gaming-centric smartphone and all. But finally, after spending that much money it was all worthless as the phone screen was not that good buying it for Rs 15K. Ignoring the screen camera was disgusting. And most importantly phone was getting heated as well while playing PUBG only for about 30 minutes which is disgusting to spend this much and getting nothing. And the most disgusting was that I had gone with the Halo White color which does looks shabby and cheap smartphone without cover. So either covers it forever or use it hiding with everyone.<br>Last words never go for this smartphone ever. This was disgust phone ever which looked shabby, bulky and overpriced.</span>",4 people found this helpful
KRISHNA,5.0 out of 5 stars,Rocking note 8 pro,Reviewed in India on 7 November 2019,<span>Love it</span>,11 people found this helpful
Jyoti prakash,4.0 out of 5 stars,Good,Reviewed in India on 6 November 2019,<span>Very good.</span>,10 people found this helpful
Yash-Delhi,5.0 out of 5 stars,Total value for money,Reviewed in India on 11 November 2019,"<span>Bought recently, using for few days now. Sharing initial impressions for assistance:<br>*Screen quality is really good, i have been using amoleds but not disappointed with this lcd, blacks are very good for lcd even thought the contrast ratio mentioned is around 13k but totally satisfied with the contrast, colors etc. It even out shined my older samsung a9 pro with its hdr videos in you tube.<br>*Gaming is good, played asphalt 9 for few hours at max settings and did not find much lags and the game is enjoyable without much heating either.<br>*Battery standby is v.good - no loss in standby even in night, not even 1%, even thought the screen &amp; android consumes a bit more battery than desired but still its nice and fast charging is also fine.<br>*Built quality is super - got white color and loved it, i wanted green but couldn't get that in sale so have to buy white but have to say it is very good. I love the curves in the side which makes handling a pleasure &amp; use big phones so i needed big size and could have gone for bigger also but not disappointed with this size also, pretty good. The weight is also ideal with not more than 200 which doesn't feel heavy.<br>*Finger print is fast and face is reliable and fast without opening in eyes closed case.<br>*UI is fast and filled with customization, i downloaded poco launcher instantly as i needed app drawer and its great.<br>*Both cameras are ok in indoor lighting not very great as i could not use it outdoors yet.<br>Thanks xiaomi for this great product and such price and thanks amazon for getting the same in just 2 days time without any extra charges.</span>",3 people found this helpful
